sample_id,sample_name,seed,offset_std,noise_std,m,k,spatial_tau,feature_tau,lambda_feat,nearest_mse,gaussian_mse,feature_mse,nearest_acc,true_in_knn_acc,true_in_feat_knn_acc,gaussian_w_max,feature_w_max,gaussian_ratio,feature_ratio,feature_vs_gaussian_ratio
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,1,0.002,0.0,512,512,0.001,0.01,10.0,8414.2255859375,8270.041015625,3385.962646484375,0.236328125,0.869140625,0.869140625,0.025330763310194016,0.6000047326087952,0.9828641900743103,0.40240930218738796,0.4094251334530394
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,1,0.002,0.001,512,512,0.001,0.01,10.0,10217.8212890625,10173.4150390625,4424.34765625,0.232421875,0.853515625,0.853515625,0.02521468512713909,0.6051819324493408,0.9956540392766965,0.4330030376422781,0.4348930658251914
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,1,0.002,0.005,512,512,0.001,0.01,10.0,10217.83203125,10173.427734375,4424.353515625,0.232421875,0.853515625,0.853515625,0.02521468512713909,0.6051697731018066,0.9956542349943516,0.43300315586453675,0.43489309907569795
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,1,0.002,0.01,512,512,0.001,0.01,10.0,10217.8466796875,10173.4453125,4424.36328125,0.232421875,0.853515625,0.853515625,0.02521468512713909,0.6050516366958618,0.9956545279470901,0.4330034908475759,0.4348933075615823
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,1,0.002,0.05,512,512,0.001,0.01,10.0,10217.96484375,10173.5810546875,4424.43310546875,0.232421875,0.853515625,0.853515625,0.02521468512713909,0.6005809307098389,0.9956562985152911,0.43300531692228644,0.4348943682352816
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,2,0.002,0.0,512,512,0.001,0.01,10.0,8515.404296875,8214.12890625,3682.256591796875,0.234375,0.87890625,0.87890625,0.02430954948067665,0.5952402353286743,0.9646199545997408,0.43242299054998445,0.4482832731046021
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,2,0.002,0.001,512,512,0.001,0.01,10.0,9369.6484375,9330.4609375,4518.3740234375,0.24609375,0.884765625,0.884765625,0.024332158267498016,0.6021965146064758,0.9958176125538328,0.4822351717438705,0.48426053693421833
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,2,0.002,0.005,512,512,0.001,0.01,10.0,9369.6640625,9330.478515625,4518.3935546875,0.24609375,0.884765625,0.884765625,0.024332158267498016,0.6021724343299866,0.9958178279804255,0.4822364520806426,0.48426171788734207
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,2,0.002,0.01,512,512,0.001,0.01,10.0,9369.681640625,9330.498046875,4518.41845703125,0.24609375,0.884765625,0.884765625,0.024332158267498016,0.6020336151123047,0.9958180442780352,0.4822382051317862,0.4842633731159263
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,2,0.002,0.05,512,512,0.001,0.01,10.0,9369.837890625,9330.65625,4518.6201171875,0.24609375,0.884765625,0.884765625,0.024332158267498016,0.5994253158569336,0.9958183224638066,0.4822516856677541,0.4842767749789839
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,0,0.002,0.0,512,512,0.001,0.01,10.0,17891.22265625,16615.728515625,5245.9072265625,0.23828125,0.857421875,0.857421875,0.023727765306830406,0.6258371472358704,0.9287083859425657,0.29321122023652924,0.31571936323041055
