sample_id,sample_name,seed,offset_std,m,noise_std,k,spatial_tau,feature_tau,lambda_feat,nearest_mse,gaussian_mse,feature_mse,nearest_acc,true_in_knn_acc,true_in_feat_knn_acc,gaussian_w_max,feature_w_max,gaussian_ratio,feature_ratio,feature_vs_gaussian_ratio
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,1,0.0,512,0.0,512,0.001,0.01,10.0,2.5173983573913574,364.66925048828125,0.002250704914331436,0.771484375,1.0,1.0,0.02133508399128914,0.6796573996543884,144.85957274802072,0.000894059896290597,6.1719075883634535e-06
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,1,0.001,512,0.0,512,0.001,0.01,10.0,4160.380859375,3900.3623046875,947.5914306640625,0.353515625,0.939453125,0.939453125,0.021319318562746048,0.6412901878356934,0.937501261668971,0.2277655490431268,0.24294959202257602
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,1,0.002,512,0.0,512,0.001,0.01,10.0,14134.04296875,13464.462890625,5354.6611328125,0.248046875,0.900390625,0.900390625,0.02127019874751568,0.6199901700019836,0.9526264297055397,0.3788485109781763,0.39768843186019914
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,1,0.005,512,0.0,512,0.001,0.01,10.0,61366.53515625,58521.40625,36728.3515625,0.130859375,0.802734375,0.802734375,0.02100784331560135,0.5804428458213806,0.9536371265054187,0.598507826276702,0.627605416821302
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,1,0.01,512,0.0,512,0.001,0.01,10.0,135743.0,132005.78125,98420.8515625,0.046875,0.671875,0.671875,0.020608682185411453,0.5507906079292297,0.9724684237861253,0.7250528687482964,0.7455798574162826
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,2,0.0,512,0.0,512,0.001,0.01,10.0,1.1999173164367676,493.09576416015625,0.0008690701797604561,0.8046875,1.0,1.0,0.031348586082458496,0.7115720510482788,410.94145188639845,0.0007242750545022689,1.7624774798880332e-06
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,2,0.001,512,0.0,512,0.001,0.01,10.0,4239.259765625,3944.34765625,511.06536865234375,0.369140625,0.923828125,0.923828125,0.031301431357860565,0.6623666286468506,0.9304331119865874,0.12055533204085139,0.12956904745516973
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,2,0.002,512,0.0,512,0.001,0.01,10.0,15999.048828125,14648.060546875,4438.5869140625,0.27734375,0.86328125,0.86328125,0.031190156936645508,0.6468876600265503,0.9155582125060413,0.2774281747462282,0.3030153309278492
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,2,0.005,512,0.0,512,0.001,0.01,10.0,75896.3125,72626.40625,41607.90625,0.134765625,0.7734375,0.7734375,0.030697204172611237,0.6258365511894226,0.9569161380534792,0.5482203927891753,0.5729032785509747
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,2,0.01,512,0.0,512,0.001,0.01,10.0,197128.828125,191282.65625,152047.484375,0.060546875,0.638671875,0.638671875,0.029507536441087723,0.580635666847229,0.9703433945678765,0.7713102432617629,0.7948837984363781
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,0,0.0,512,0.0,512,0.001,0.01,10.0,19.218130111694336,710.6367797851562,0.009078080765902996,0.72265625,1.0,1.0,0.02259598858654499,0.6394214034080505,36.97741537053753,0.00047237065797462444,1.2774572079772641e-05
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,0,0.001,512,0.0,512,0.001,0.01,10.0,1046.7860107421875,1594.392822265625,148.55418395996094,0.31640625,0.947265625,0.947265625,0.022571807727217674,0.5971840620040894,1.5231315721683898,0.1419145674813076,0.09317288806460262
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,0,0.002,512,0.0,512,0.001,0.01,10.0,3644.954833984375,4090.44921875,896.3218383789062,0.203125,0.91796875,0.91796875,0.0225222110748291,0.5798147916793823,1.122222196174279,0.2459075295040401,0.21912552642636476
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,0,0.005,512,0.0,512,0.001,0.01,10.0,19869.59375,19868.802734375,8498.5458984375,0.09765625,0.775390625,0.775390625,0.02237127348780632,0.545835018157959,0.9999601896427802,0.4277161378016347,0.4277331660117684
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,0,0.01,512,0.0,512,0.001,0.01,10.0,62808.6015625,63307.23828125,34796.69140625,0.056640625,0.63671875,0.63671875,0.02198932319879532,0.5420441627502441,1.0079389877555833,0.5540115611653011,0.5496479131132135
